CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS;TAXA_EVASAO;TAXA_APROVACAO;TAXA_REPROVACAO;EVASAO_ABSOLUTA;APROVADOS_ABSOLUTOS;REPROVADOS_ABSOLUTOS
3202256;Governador Lindenberg;ES;Municipal;9;0;;;;0.0;0.0;0.0
3202405;Guarapari;ES;Estadual;6;97;0.0;1.0;0.0;0.0;97.0;0.0
3202405;Guarapari;ES;Estadual;7;95;0.0;0.9890000000000001;0.011000000000000001;0.0;93.95500000000001;1.0450000000000002
3202405;Guarapari;ES;Estadual;8;123;0.01;0.99;0.0;1.23;121.77;0.0
3202405;Guarapari;ES;Estadual;9;314;0.003;0.99;0.006999999999999999;0.9420000000000001;310.86;2.198
3202405;Guarapari;ES;Municipal;6;1799;0.009000000000000001;0.9279999999999999;0.063;16.191000000000003;1669.472;113.337
3202405;Guarapari;ES;Municipal;7;1640;0.011000000000000001;0.9159999999999999;0.073;18.040000000000003;1502.2399999999998;119.72
3202405;Guarapari;ES;Municipal;8;1511;0.006999999999999999;0.9229999999999999;0.07;10.576999999999998;1394.6529999999998;105.77000000000001
3202405;Guarapari;ES;Municipal;9;1144;0.011000000000000001;0.96;0.028999999999999998;12.584000000000001;1098.24;33.175999999999995
3202306;Guaçuí;ES;Estadual;6;64;0.0;1.0;0.0;0.0;64.0;0.0
3202306;Guaçuí;ES;Estadual;7;51;0.0;0.98;0.02;0.0;49.98;1.02
3202306;Guaçuí;ES;Estadual;8;37;0.0;0.9740000000000001;0.026000000000000002;0.0;36.038000000000004;0.9620000000000001
3202306;Guaçuí;ES;Estadual;9;46;0.0;1.0;0.0;0.0;46.0;0.0
3202306;Guaçuí;ES;Municipal;6;342;0.015;0.937;0.048;5.13;320.454;16.416
3202306;Guaçuí;ES;Municipal;7;273;0.022000000000000002;0.9520000000000001;0.026000000000000002;6.006;259.896;7.098000000000001
3202306;Guaçuí;ES;Municipal;8;277;0.03;0.912;0.057999999999999996;8.31;252.624;16.066
3202306;Guaçuí;ES;Municipal;9;236;0.03;0.9390000000000001;0.031;7.08;221.604;7.316
3202454;Ibatiba;ES;Estadual;6;0;;;;0.0;0.0;0.0
3202454;Ibatiba;ES;Estadual;7;0;;;;0.0;0.0;0.0
3202454;Ibatiba;ES;Estadual;8;105;0.0;0.99;0.01;0.0;103.95;1.05
3202454;Ibatiba;ES;Estadual;9;183;0.0;0.9940000000000001;0.006;0.0;181.90200000000002;1.098
3202454;Ibatiba;ES;Municipal;6;433;0.01;0.847;0.14300000000000002;4.33;366.751;61.919000000000004
3202454;Ibatiba;ES;Municipal;7;377;0.011000000000000001;0.862;0.127;4.147;324.974;47.879
3202454;Ibatiba;ES;Municipal;8;250;0.022000000000000002;0.85;0.128;5.500000000000001;212.5;32.0
3202454;Ibatiba;ES;Municipal;9;129;0.016;0.951;0.033;2.064;122.67899999999999;4.257000000000001
3202504;Ibiraçu;ES;Estadual;6;160;0.0;0.919;0.081;0.0;147.04000000000002;12.96
3202504;Ibiraçu;ES;Estadual;7;128;0.0;0.961;0.039;0.0;123.008;4.992
3202504;Ibiraçu;ES;Estadual;8;116;0.0;0.991;0.009000000000000001;0.0;114.956;1.044
3202504;Ibiraçu;ES;Estadual;9;142;0.0;0.9790000000000001;0.021;0.0;139.018;2.982
3202504;Ibiraçu;ES;Municipal;6;10;0.0;1.0;0.0;0.0;10.0;0.0
3202504;Ibiraçu;ES;Municipal;7;5;0.0;1.0;0.0;0.0;5.0;0.0
3202504;Ibiraçu;ES;Municipal;8;8;0.0;1.0;0.0;0.0;8.0;0.0
3202504;Ibiraçu;ES;Municipal;9;4;0.0;1.0;0.0;0.0;4.0;0.0
3202553;Ibitirama;ES;Estadual;6;128;0.0;1.0;0.0;0.0;128.0;0.0
3202553;Ibitirama;ES;Estadual;7;129;0.0;1.0;0.0;0.0;129.0;0.0
3202553;Ibitirama;ES;Estadual;8;113;0.0;0.982;0.018000000000000002;0.0;110.966;2.0340000000000003
3202553;Ibitirama;ES;Estadual;9;134;0.0;0.992;0.008;0.0;132.928;1.072
3202553;Ibitirama;ES;Municipal;6;50;0.02;0.98;0.0;1.0;49.0;0.0
3202553;Ibitirama;ES;Municipal;7;45;0.043;0.9570000000000001;0.0;1.9349999999999998;43.065000000000005;0.0
3202553;Ibitirama;ES;Municipal;8;32;0.09699999999999999;0.903;0.0;3.1039999999999996;28.896;0.0
3202553;Ibitirama;ES;Municipal;9;36;0.094;0.9059999999999999;0.0;3.384;32.616;0.0
3202603;Iconha;ES;Estadual;6;113;0.0;0.991;0.009000000000000001;0.0;111.983;1.0170000000000001
3202603;Iconha;ES;Estadual;7;101;0.0;0.98;0.02;0.0;98.98;2.02
3202603;Iconha;ES;Estadual;8;85;0.0;0.988;0.012;0.0;83.98;1.02
3202603;Iconha;ES;Estadual;9;86;0.0;1.0;0.0;0.0;86.0;0.0
3202603;Iconha;ES;Municipal;6;46;0.0;0.9570000000000001;0.043;0.0;44.022000000000006;1.9779999999999998
3202603;Iconha;ES;Municipal;7;39;0.0;0.9740000000000001;0.026000000000000002;0.0;37.986000000000004;1.014
3202603;Iconha;ES;Municipal;8;49;0.0;1.0;0.0;0.0;49.0;0.0
3202603;Iconha;ES;Municipal;9;54;0.0;1.0;0.0;0.0;54.0;0.0
3202652;Irupi;ES;Estadual;6;116;0.0;0.982;0.018000000000000002;0.0;113.91199999999999;2.088
3202652;Irupi;ES;Estadual;7;118;0.0;0.991;0.009000000000000001;0.0;116.938;1.062
3202652;Irupi;ES;Estadual;8;133;0.0;0.958;0.042;0.0;127.414;5.586
3202652;Irupi;ES;Estadual;9;107;0.0;1.0;0.0;0.0;107.0;0.0
3202652;Irupi;ES;Municipal;6;58;0.017;0.8640000000000001;0.11900000000000001;0.9860000000000001;50.11200000000001;6.902
3202652;Irupi;ES;Municipal;7;64;0.032;0.8590000000000001;0.109;2.048;54.976000000000006;6.976
3202652;Irupi;ES;Municipal;8;46;0.0;0.889;0.111;0.0;40.894;5.106
